shipment_id,route_id,origin,destination,carrier,ship_date,expected_delivery_date,actual_delivery_date,status
SHP000420,MIA-SEA,Maimi,SEA,Pioneer Cargo,"May 30, 2025",06/04/2025,"Jun 07, 2025",DELIVERED
SHP000549,CHI-SEA,chicago,Seattle,BlueLine Logistics,"Aug 15, 2025","Aug 23, 2025",,IN_TRANSIT
SHP000544,NEW-MIA,New York City,Maimi,BlueLine Logistics,02/07/2025,10-02-2025,11-02-2025,DELIVERED
SHP000087,HOU-MIA,Huoston,Maimi,TransHaul Co,07/18/2025,"Jul 25, 2025",2025-07-29,DELIVERED
SHP000061,ATL-CHI,ATL,Chcago,BlueLine Logistics,"Aug 07, 2025",11 Aug 2025,12 Aug 2025,DELAYED
SHP000361,DEN-MIA,Denver,miami,Swift Freight,"Apr 18, 2025",21 Apr 2025,,DELIVERED
SHP000123,NEW-DEN,new york,DEN,Pioneer Cargo,22-02-2025,2025-02-27,2025-03-06,DELAYED
SHP000250,LOS-ATL,LA,Atalanta,Swift Freight,27-01-2025,"Feb 05, 2025",06 Feb 2025,DELIVERED
SHP000128,LOS-ATL,los angeles,atlanta,BlueLine Logistics,2025-05-11,05/15/2025,18-05-2025,DELAYED
SHP000195,NEW-SEA,new york,seattle,TransHaul Co,"Mar 28, 2025",02 Apr 2025,,IN_TRANSIT
SHP000408,LOS-ATL,LA,Atalanta,Pioneer Cargo,06-03-2025,"Mar 13, 2025",,CANCELLED
SHP000110,SEA-ATL,Seattle,ATL,TransHaul Co,2025-06-01,2025-06-03,"Jun 03, 2025",DELIVERED
SHP000574,NEW-HOU,New York,HOU,TransHaul Co,2025-06-19,"Jun 23, 2025",06/25/2025,DELIVERED
SHP000449,CHI-NEW,CHI,New York City,BlueLine Logistics,06/17/2025,24 Jun 2025,06/24/2025,DELIVERED
SHP000542,LOS-ATL,L.A.,atlanta,Pioneer Cargo,"Jun 02, 2025",2025-06-10,,DELIVERED
SHP000141,DEN-ATL,DEN,Atalanta,BlueLine Logistics,14-03-2025,22 Mar 2025,"Mar 22, 2025",DELIVERED
SHP000261,LOS-DEN,LA,denver,BlueLine Logistics,07/12/2025,19-07-2025,07/22/2025,DELAYED
SHP000108,CHI-LOS,Chicago,LA,Swift Freight,19-05-2025,05/24/2025,25 May 2025,DELAYED
SHP000319,ATL-MIA,Atlanta,miami,BlueLine Logistics,19-06-2025,2025-06-29,"Jun 29, 2025",DELIVERED
SHP000478,DEN-HOU,Denver,houston,Pioneer Cargo,2025-04-12,13-04-2025,04/16/2025,DELAYED
SHP000510,CHI-HOU,CHI,houston,BlueLine Logistics,05/21/2025,05/28/2025,2025-05-28,DELIVERED
SHP000077,LOS-DEN,Los Angeles,DEN,Swift Freight,06/22/2025,"Jul 02, 2025",,IN_TRANSIT
SHP000057,LOS-MIA,Los Angeles,Miami,Pioneer Cargo,29 Jul 2025,"Aug 01, 2025",,CANCELLED
SHP000350,SEA-HOU,SEA,houston,BlueLine Logistics,"Aug 16, 2025",2025-08-19,08/21/2025,DELIVERED
SHP000099,ATL-MIA,ATL,MIA,Swift Freight,"Feb 12, 2025",2025-02-17,02/21/2025,DELAYED
SHP000418,LOS-HOU,Los Angeles,HOU,TransHaul Co,04-02-2025,02/09/2025,2025-02-09,DELIVERED
SHP000308,LOS-MIA,los angeles,Maimi,Swift Freight,15-05-2025,21-05-2025,,CANCELLED
SHP000437,SEA-HOU,Seatle,HOU,Swift Freight,2025-08-09,08/12/2025,"Aug 12, 2025",DELIVERED
SHP000355,HOU-MIA,HOU,Maimi,Pioneer Cargo,03/09/2025,2025-03-18,,CANCELLED
SHP000368,NEW-MIA,NYC,miami,TransHaul Co,24-01-2025,03-02-2025,,CANCELLED
SHP000400,NEW-CHI,New York City,CHI,Pioneer Cargo,03/05/2025,09-03-2025,"Mar 15, 2025",DELAYED
SHP000334,CHI-MIA,CHI,miami,Pioneer Cargo,2025-05-02,12-05-2025,,IN_TRANSIT
SHP000127,MIA-ATL,MIA,atlanta,Pioneer Cargo,01/21/2025,2025-01-28,03 Feb 2025,DELAYED
SHP000327,MIA-CHI,Maimi,Chicago,BlueLine Logistics,09-04-2025,"Apr 17, 2025",,IN_TRANSIT
SHP000489,CHI-MIA,chicago,miami,Pioneer Cargo,2025-07-06,08-07-2025,2025-07-08,DELIVERED
SHP000275,DEN-SEA,DEN,SEA,BlueLine Logistics,"Jun 02, 2025",04 Jun 2025,"Jun 04, 2025",DELIVERED
SHP000517,LOS-SEA,Los Angles,seattle,BlueLine Logistics,09 Aug 2025,2025-08-14,2025-08-16,DELIVERED
SHP000222,DEN-SEA,Denvor,Seattle,Swift Freight,05 May 2025,06-05-2025,09 May 2025,DELIVERED
SHP000081,SEA-ATL,Seattle,atlanta,Pioneer Cargo,13 Jul 2025,07/21/2025,,IN_TRANSIT
SHP000234,SEA-ATL,SEA,Atalanta,Swift Freight,24-01-2025,"Feb 03, 2025",,IN_TRANSIT
SHP000105,HOU-DEN,HOU,DEN,Swift Freight,"Apr 24, 2025",28-04-2025,04/29/2025,DELAYED
SHP000499,LOS-DEN,los angeles,Denvor,TransHaul Co,23-03-2025,"Mar 26, 2025",02-04-2025,DELAYED
SHP000207,SEA-LOS,Seattle,Los Angeles,TransHaul Co,12 Mar 2025,2025-03-16,03/22/2025,DELAYED
SHP000161,MIA-ATL,Maimi,atlanta,Pioneer Cargo,"Jan 31, 2025",02/05/2025,2025-02-11,DELAYED
SHP000321,SEA-LOS,SEA,LA,Pioneer Cargo,25 Apr 2025,2025-04-26,04/28/2025,DELIVERED
SHP000098,SEA-DEN,Seatle,denver,BlueLine Logistics,02/03/2025,05 Feb 2025,08-02-2025,DELAYED
SHP000403,DEN-SEA,DEN,seattle,TransHaul Co,18 Jul 2025,21 Jul 2025,2025-07-21,DELIVERED
SHP000047,SEA-MIA,Seatle,Maimi,BlueLine Logistics,"Aug 17, 2025","Aug 25, 2025",,IN_TRANSIT
SHP000315,ATL-NEW,Atlanta,NYC,BlueLine Logistics,"Mar 23, 2025",03/28/2025,,CANCELLED
SHP000447,DEN-HOU,denver,HOU,Swift Freight,02/12/2025,02/15/2025,"Feb 17, 2025",DELAYED
SHP000189,SEA-HOU,seattle,HOU,Pioneer Cargo,06/17/2025,2025-06-22,24 Jun 2025,DELAYED
SHP000239,SEA-ATL,Seatle,ATL,Pioneer Cargo,"Aug 31, 2025",04 Sep 2025,09/04/2025,DELIVERED
SHP000507,CHI-HOU,Chicago,houston,BlueLine Logistics,"Aug 01, 2025","Aug 09, 2025",,DELIVERED
SHP000122,LOS-CHI,Los Angles,Chcago,Pioneer Cargo,2025-04-21,04/23/2025,"Apr 27, 2025",DELIVERED
SHP000271,DEN-CHI,denver,Chcago,TransHaul Co,07/04/2025,2025-07-08,,IN_TRANSIT
SHP000055,DEN-NEW,denver,New York,Swift Freight,2025-07-11,07/20/2025,07/21/2025,DELIVERED
SHP000188,ATL-NEW,ATL,new york,Pioneer Cargo,2025-05-27,05-06-2025,2025-06-07,DELIVERED
SHP000346,CHI-DEN,chicago,denver,BlueLine Logistics,"Jun 12, 2025",2025-06-13,06/14/2025,DELIVERED
SHP000138,SEA-NEW,SEA,New York City,BlueLine Logistics,04/03/2025,04/08/2025,04/08/2025,DELIVERED
SHP000044,HOU-MIA,Huoston,Miami,TransHaul Co,"Feb 20, 2025",23 Feb 2025,02/23/2025,DELIVERED
SHP000073,NEW-HOU,new york,HOU,Pioneer Cargo,"Apr 26, 2025",2025-05-06,05/06/2025,DELIVERED
SHP000282,LOS-CHI,L.A.,Chcago,Pioneer Cargo,2025-07-02,"Jul 12, 2025",,IN_TRANSIT
SHP000083,MIA-NEW,miami,New York City,,27 Feb 2025,01-03-2025,"Mar 01, 2025",DELIVERED
SHP000538,DEN-HOU,Denvor,Huoston,BlueLine Logistics,08-01-2025,10-01-2025,11 Jan 2025,DELIVERED
SHP000372,HOU-SEA,Houston,Seatle,TransHaul Co,28 Mar 2025,30 Mar 2025,03/31/2025,DELAYED
SHP000340,MIA-SEA,Maimi,SEA,Pioneer Cargo,"Mar 23, 2025","Mar 26, 2025","Apr 01, 2025",DELAYED
SHP000026,MIA-NEW,Miami,N.York,Swift Freight,"Aug 30, 2025",09 Sep 2025,12 Sep 2025,DELIVERED
SHP000506,DEN-HOU,Denvor,houston,TransHaul Co,15-08-2025,20 Aug 2025,2025-08-23,DELAYED
SHP000405,CHI-SEA,chicago,Seatle,BlueLine Logistics,2025-07-07,15-07-2025,16-07-2025,DELAYED
SHP000589,MIA-CHI,Maimi,Chicago,Swift Freight,2025-03-27,06 Apr 2025,04/13/2025,DELAYED
SHP000318,LOS-NEW,LA,New York,Pioneer Cargo,2025-04-11,"Apr 21, 2025",2025-04-23,DELIVERED
SHP000157,DEN-CHI,Denvor,CHI,,2025-04-25,"Apr 26, 2025",29-04-2025,DELAYED
SHP000129,HOU-LOS,Houston,LA,TransHaul Co,"Jun 04, 2025",07 Jun 2025,13 Jun 2025,DELAYED
SHP000042,NEW-CHI,N.York,CHI,TransHaul Co,"Mar 15, 2025","Mar 19, 2025",03/22/2025,DELIVERED
SHP000091,LOS-MIA,los angeles,Miami,Swift Freight,12-06-2025,2025-06-14,18-06-2025,DELIVERED
SHP000522,SEA-MIA,SEA,Maimi,Swift Freight,01/02/2025,01/04/2025,,IN_TRANSIT
SHP000297,MIA-CHI,MIA,Chicago,Swift Freight,2025-06-25,06/27/2025,,IN_TRANSIT
SHP000386,SEA-CHI,Seatle,Chicago,Swift Freight,17-03-2025,"Mar 21, 2025",,CANCELLED
SHP000038,CHI-ATL,CHI,ATL,TransHaul Co,09 Mar 2025,10 Mar 2025,2025-03-12,DELIVERED
SHP000562,SEA-CHI,Seatle,Chcago,BlueLine Logistics,10 Mar 2025,03/12/2025,15 Mar 2025,DELIVERED
SHP000240,SEA-HOU,seattle,houston,Swift Freight,"Mar 13, 2025",03/20/2025,"Mar 23, 2025",DELIVERED
SHP000255,MIA-ATL,Maimi,Atalanta,TransHaul Co,05/10/2025,2025-05-18,20 May 2025,DELIVERED
SHP000581,SEA-MIA,seattle,MIA,Swift Freight,2025-07-23,27-07-2025,,DELAYED
SHP000444,CHI-MIA,Chcago,Maimi,Swift Freight,"Mar 14, 2025",20 Mar 2025,23-03-2025,DELIVERED
SHP000052,DEN-NEW,Denvor,new york,TransHaul Co,04/10/2025,16 Apr 2025,,IN_TRANSIT
SHP000151,HOU-SEA,HOU,seattle,Swift Freight,18-06-2025,20 Jun 2025,,DELAYED
SHP000378,NEW-HOU,new york,HOU,BlueLine Logistics,07-02-2025,08-02-2025,,IN_TRANSIT
SHP000366,HOU-ATL,Houston,Atalanta,TransHaul Co,14 Jun 2025,"Jun 21, 2025",2025-06-21,DELIVERED
SHP000032,CHI-SEA,Chicago,Seattle,Swift Freight,04/24/2025,03 May 2025,2025-05-08,DELAYED
SHP000311,HOU-SEA,HOU,Seattle,BlueLine Logistics,25-05-2025,27-05-2025,05/29/2025,DELAYED
SHP000461,NEW-LOS,New York City,L.A.,Pioneer Cargo,28-04-2025,04/30/2025,2025-04-30,DELIVERED
SHP000481,HOU-SEA,Huoston,Seattle,Pioneer Cargo,2025-01-20,26 Jan 2025,"Jan 28, 2025",DELAYED
SHP000525,SEA-NEW,Seatle,N.York,BlueLine Logistics,08 Feb 2025,13 Feb 2025,"Feb 16, 2025",DELAYED
SHP000241,ATL-MIA,Atalanta,Maimi,BlueLine Logistics,27-06-2025,06/29/2025,06-07-2025,DELAYED
SHP000017,DEN-ATL,DEN,Atlanta,BlueLine Logistics,26 Apr 2025,04/28/2025,2025-04-28,DELIVERED
SHP000448,LOS-NEW,L.A.,N.York,Swift Freight,2025-01-17,25-01-2025,25 Jan 2025,DELIVERED
SHP000550,MIA-ATL,Maimi,Atalanta,Pioneer Cargo,02/16/2025,02/24/2025,"Feb 27, 2025",DELIVERED
SHP000505,HOU-ATL,Houston,Atalanta,Swift Freight,05/18/2025,25-05-2025,,CANCELLED
SHP000121,NEW-SEA,New York City,Seatle,,21-01-2025,01/26/2025,28 Jan 2025,DELIVERED
SHP000016,CHI-SEA,Chcago,seattle,BlueLine Logistics,02-05-2025,"May 11, 2025",14-05-2025,DELIVERED
