ShipmentRef,From,To,Carrier Name,PickupDate,ETA,DeliveredOn,Status
SHP000543,los angeles,Seatle,Swift Freight,2025-07-28,08/07/2025,08/11/2025,delayed
SHP000064,Denvor,houston,Pioneer Cargo,22 Jul 2025,23-07-2025,"Jul 23, 2025",delivered
SHP000242,Chcago,Seatle,TransHaul Co,19 Apr 2025,2025-04-26,29-04-2025,delivered
SHP000326,Miami,New York,Swift Freight,17-04-2025,20 Apr 2025,23-04-2025,delivered
SHP000370,HOU,N.York,,2025-03-29,2025-04-04,04/11/2025,delayed
SHP000154,NYC,MIA,Swift Freight,15-06-2025,"Jun 19, 2025","Jun 19, 2025",delivered
SHP000135,MIA,Denver,Pioneer Cargo,2025-03-28,07 Apr 2025,,delivered
SHP000572,L.A.,Atlanta,Pioneer Cargo,27-02-2025,28-02-2025,"Mar 04, 2025",delivered
SHP000002,N.York,denver,TransHaul Co,02/25/2025,"Mar 01, 2025",01 Mar 2025,delivered
SHP000014,Houston,Los Angles,Pioneer Cargo,"Apr 06, 2025",2025-04-09,2025-04-12,delivered
SHP000568,NYC,HOU,BlueLine Logistics,"Apr 10, 2025",2025-04-16,,cancelled
SHP000548,MIA,denver,BlueLine Logistics,2025-08-25,2025-08-31,2025-09-02,delayed
SHP000287,seattle,L.A.,,16 Mar 2025,"Mar 26, 2025",,delayed
SHP000253,Maimi,atlanta,,"Feb 05, 2025",15-02-2025,02/15/2025,delivered
SHP000395,Chcago,N.York,Swift Freight,11-01-2025,01/12/2025,,in_transit
SHP000583,Miami,Denver,BlueLine Logistics,2025-02-10,11 Feb 2025,12-02-2025,delayed
SHP000495,ATL,L.A.,Swift Freight,09 May 2025,14-05-2025,,delayed
SHP000528,denver,ATL,TransHaul Co,07 Jan 2025,15-01-2025,17-01-2025,delayed
SHP000421,DEN,los angeles,Pioneer Cargo,"Apr 05, 2025",04/14/2025,,in_transit
SHP000596,Miami,Atalanta,,2025-02-26,"Mar 08, 2025",13 Mar 2025,delayed
SHP000471,MIA,Seattle,Pioneer Cargo,05/06/2025,15 May 2025,,in_transit
SHP000196,Seatle,NYC,BlueLine Logistics,2025-04-13,15-04-2025,"Apr 15, 2025",delivered
SHP000096,New York City,ATL,BlueLine Logistics,10 Aug 2025,11-08-2025,08/17/2025,delayed
SHP000103,N.York,denver,TransHaul Co,"Mar 19, 2025",27-03-2025,27 Mar 2025,delivered
SHP000071,HOU,Maimi,Pioneer Cargo,14 May 2025,21 May 2025,2025-05-23,delivered
SHP000291,NYC,Huoston,,19-06-2025,"Jun 22, 2025",23-06-2025,delivered
SHP000364,L.A.,houston,Swift Freight,2025-06-19,06/23/2025,27 Jun 2025,delivered
SHP000237,houston,Seatle,Swift Freight,06/10/2025,18-06-2025,,in_transit
SHP000285,Seattle,Chicago,BlueLine Logistics,07/31/2025,02 Aug 2025,,in_transit
SHP000577,N.York,Huoston,BlueLine Logistics,31 Jan 2025,02/04/2025,2025-02-10,delayed
SHP000470,LA,New York,TransHaul Co,08/02/2025,2025-08-05,2025-08-05,delivered
SHP000140,miami,L.A.,Swift Freight,"Feb 11, 2025",14-02-2025,02/21/2025,delayed
SHP000328,chicago,Atlanta,TransHaul Co,05-06-2025,12-06-2025,2025-06-13,delivered
SHP000564,los angeles,seattle,,2025-04-25,01 May 2025,2025-05-02,delivered
SHP000004,Los Angles,NYC,Swift Freight,"Apr 08, 2025",10 Apr 2025,2025-04-11,delivered
SHP000046,Denvor,new york,TransHaul Co,23 May 2025,27 May 2025,28 May 2025,delayed
SHP000579,Chcago,seattle,Swift Freight,2025-01-13,2025-01-18,,delayed
SHP000303,N.York,MIA,BlueLine Logistics,07/19/2025,2025-07-24,07/26/2025,delivered
SHP000034,Los Angles,chicago,BlueLine Logistics,07/19/2025,07/28/2025,,delayed
SHP000172,HOU,CHI,,06/05/2025,08-06-2025,12 Jun 2025,delivered
SHP000269,L.A.,Miami,Swift Freight,2025-04-19,22-04-2025,22-04-2025,delivered
SHP000518,los angeles,Huoston,Pioneer Cargo,05-07-2025,15 Jul 2025,21 Jul 2025,delayed
SHP000156,CHI,ATL,TransHaul Co,17 Mar 2025,"Mar 23, 2025",,delivered
SHP000107,houston,NYC,,01 Aug 2025,2025-08-10,10-08-2025,delivered
SHP000074,atlanta,Maimi,Swift Freight,22 Jul 2025,08/01/2025,,in_transit
SHP000399,HOU,chicago,,05-05-2025,"May 13, 2025",05/17/2025,delivered
SHP000307,HOU,Miami,Swift Freight,02/03/2025,09 Feb 2025,02/16/2025,delayed
SHP000561,Miami,New York,Pioneer Cargo,"Mar 15, 2025",23 Mar 2025,24-03-2025,delivered
SHP000541,HOU,miami,BlueLine Logistics,2025-06-27,07 Jul 2025,"Jul 09, 2025",delivered
SHP000488,Chcago,Denver,BlueLine Logistics,06/07/2025,15-06-2025,,in_transit
SHP000591,Huoston,miami,TransHaul Co,01/29/2025,2025-02-04,"Feb 04, 2025",delivered
SHP000218,Huoston,SEA,BlueLine Logistics,02/07/2025,08-02-2025,02/11/2025,delivered
SHP000397,New York,MIA,Swift Freight,12-07-2025,2025-07-21,07/24/2025,delivered
SHP000497,chicago,houston,BlueLine Logistics,21 Mar 2025,31 Mar 2025,04/03/2025,delivered
SHP000148,Maimi,Seattle,BlueLine Logistics,07/23/2025,02-08-2025,"Aug 02, 2025",delivered
SHP000582,Maimi,LA,Swift Freight,06/28/2025,2025-07-04,,in_transit
SHP000213,seattle,Denver,Pioneer Cargo,"Jan 21, 2025",29 Jan 2025,30 Jan 2025,delayed
SHP000380,HOU,Seattle,TransHaul Co,"Jun 15, 2025","Jun 24, 2025",27-06-2025,delivered
SHP000228,houston,atlanta,,06 Feb 2025,13-02-2025,"Feb 16, 2025",delayed
SHP000373,Denvor,N.York,TransHaul Co,16 May 2025,05/17/2025,,in_transit
SHP000111,Miami,Houston,,25 Jun 2025,06/27/2025,2025-06-29,delivered
SHP000425,N.York,Los Angles,BlueLine Logistics,06 Aug 2025,08/15/2025,2025-08-15,delivered
SHP000508,denver,New York City,Swift Freight,15-02-2025,23-02-2025,,in_transit
SHP000428,seattle,Maimi,TransHaul Co,12 Mar 2025,2025-03-16,,in_transit
SHP000513,Denver,houston,Pioneer Cargo,24 Apr 2025,26 Apr 2025,,in_transit
SHP000521,SEA,ATL,Swift Freight,26-07-2025,30-07-2025,30 Jul 2025,delivered
SHP000502,CHI,L.A.,BlueLine Logistics,02/19/2025,02/23/2025,2025-02-23,delivered
SHP000146,Atalanta,Miami,Swift Freight,2025-05-01,04-05-2025,05/08/2025,delayed
SHP000007,houston,seattle,BlueLine Logistics,"Mar 10, 2025","Mar 12, 2025",,in_transit
SHP000500,CHI,miami,BlueLine Logistics,02/18/2025,2025-02-20,20-02-2025,delivered
SHP000198,N.York,SEA,Swift Freight,31-01-2025,08-02-2025,10 Feb 2025,delivered
SHP000511,Miami,chicago,BlueLine Logistics,2025-03-21,29 Mar 2025,,delivered
SHP000219,MIA,ATL,TransHaul Co,"Aug 02, 2025","Aug 06, 2025",08/10/2025,delivered
