id,origin_city,dest_city,ship_dt,delivery_dt,status
SHP000113,Los Angles,miami,"Jun 29, 2025","Jul 07, 2025",DELAYED
SHP000559,HOU,Seattle,2025-04-23,04/30/2025,DELIVERED
SHP000317,Chcago,N.York,26-01-2025,02/01/2025,DELIVERED
SHP000206,N.York,Maimi,01/06/2025,N/A,DELIVERED
,ATL,NYC,2025-04-30,"May 05, 2025",DELIVERED
SHP000520,houston,N.York,"Jan 31, 2025",01-02-2025,DELIVERED
SHP000060,LA,HOU,"Apr 03, 2025",15 Apr 2025,DELAYED
SHP000569,Denver,LA,06/06/2025,2025-06-15,DELIVERED
SHP000348,New York,chicago,13-07-2025,07/26/2025,DELIVERED
SHP000072,LA,miami,23 Feb 2025,02/27/2025,DELIVERED
SHP000021,houston,los angeles,02/18/2025,"Mar 01, 2025",DELIVERED
SHP000246,Denver,Maimi,22-02-2025,05-03-2025,DELIVERED
SHP000375,Maimi,CHI,17 Mar 2025,03/27/2025,DELAYED
SHP000058,miami,Seattle,20 Feb 2025,2025-02-22,IN_TRANSIT
SHP000353,miami,New York,"May 21, 2025",26 May 2025,DELIVERED
SHP000174,MIA,LA,"Aug 10, 2025","Aug 18, 2025",DELAYED
SHP000227,New York,los angeles,02/24/2025,unknown,DELIVERED
SHP000374,CHI,Seatle,28 Jul 2025,04-08-2025,DELIVERED
SHP000290,Miami,Seattle,"Aug 18, 2025",28 Aug 2025,DELIVERED
SHP000410,Chicago,LA,10-02-2025,2025-02-16,IN_TRANSIT
SHP000503,Chcago,houston,"Aug 10, 2025",21 Aug 2025,DELIVERED
SHP000342,chicago,DEN,01/25/2025,02/03/2025,DELIVERED
SHP000294,Chicago,miami,06/25/2025,07/06/2025,DELAYED
SHP000387,HOU,Seatle,"Jun 07, 2025",17 Jun 2025,DELIVERED
SHP000149,new york,Atlanta,2025-04-01,05 Apr 2025,IN_TRANSIT
SHP000459,Denver,CHI,2025-04-29,"Apr 30, 2025",DELIVERED
SHP000243,los angeles,new york,16 Jul 2025,"Jul 20, 2025",IN_TRANSIT
SHP000529,chicago,miami,"Aug 12, 2025",19 Aug 2025,DELAYED
SHP000528,denver,ATL,07 Jan 2025,17-01-2025,DELAYED
SHP000332,Chicago,L.A.,13-08-2025,19-08-2025,DELAYED
SHP000170,Atlanta,Seatle,23-02-2025,03/09/2025,DELIVERED
SHP000260,new york,ATL,31-03-2025,12-04-2025,DELIVERED
,atlanta,Seattle,"Jul 09, 2025",16 Jul 2025,DELIVERED
SHP000379,Chicago,MIA,2025-01-16,24 Jan 2025,DELIVERED
SHP000003,Atalanta,MIA,08/11/2025,14-08-2025,DELAYED
SHP000080,Atlanta,Chcago,2025-01-30,TBD,DELAYED
SHP000164,HOU,Maimi,07 May 2025,2025-05-11,DELIVERED
SHP000476,Seatle,DEN,10 Feb 2025,19-02-2025,CANCELLED
SHP000235,miami,Denvor,01/22/2025,02-02-2025,DELAYED
SHP000557,atlanta,chicago,08-08-2025,13-08-2025,DELIVERED
SHP000075,CHI,DEN,2025-07-31,03-08-2025,DELIVERED
SHP000394,DEN,LA,17-05-2025,23 May 2025,DELIVERED
SHP000256,new york,MIA,"Jul 14, 2025","Jul 19, 2025",DELIVERED
SHP000477,seattle,houston,15 Jul 2025,25-07-2025,DELAYED
SHP000208,Houston,new york,"Jan 26, 2025",02/08/2025,DELIVERED
SHP000013,chicago,Houston,01 Jan 2025,06 Jan 2025,CANCELLED
SHP000472,Los Angeles,New York City,27-08-2025,31 Aug 2025,IN_TRANSIT
SHP000063,atlanta,Denvor,03 Jan 2025,"Jan 13, 2025",DELAYED
SHP000565,New York,Atlanta,18 Jun 2025,06/22/2025,CANCELLED
SHP000599,Atlanta,L.A.,06/30/2025,07/14/2025,DELAYED
SHP000084,Denvor,houston,2025-03-04,12-03-2025,IN_TRANSIT
SHP000277,N.York,Denvor,"Aug 31, 2025",11 Sep 2025,DELIVERED
SHP000230,Maimi,Denvor,25-03-2025,26 Mar 2025,IN_TRANSIT
SHP000191,Chcago,new york,21-05-2025,N/A,DELIVERED
SHP000076,Miami,Chcago,09 May 2025,2025-05-18,DELIVERED
SHP000177,Atlanta,seattle,04 Apr 2025,2025-04-13,DELIVERED
SHP000501,L.A.,SEA,"Jul 19, 2025","Jul 30, 2025",DELIVERED
SHP000163,atlanta,CHI,2025-08-06,08/15/2025,DELAYED
SHP000341,new york,Atalanta,01 Jul 2025,TBD,DELAYED
SHP000018,los angeles,Seattle,11-06-2025,06/12/2025,DELIVERED
SHP000363,Denver,N.York,17-01-2025,22 Jan 2025,IN_TRANSIT
SHP000288,HOU,Los Angeles,2025-01-02,12-01-2025,DELIVERED
,Los Angles,Miami,30-07-2025,08/07/2025,DELIVERED
SHP000095,HOU,DEN,2025-08-07,17-08-2025,DELIVERED
SHP000190,Houston,Los Angeles,13-01-2025,2025-01-22,DELIVERED
SHP000535,Maimi,Los Angles,30-06-2025,0000-00-00,DELAYED
SHP000452,HOU,miami,2025-01-23,02 Feb 2025,DELIVERED
SHP000130,DEN,SEA,"Aug 25, 2025",2025-09-04,IN_TRANSIT
SHP000325,Seatle,DEN,23 Aug 2025,2025-08-28,DELIVERED
SHP000043,DEN,MIA,08/19/2025,22-08-2025,IN_TRANSIT
SHP000120,HOU,DEN,2025-04-18,TBD,DELIVERED
SHP000244,seattle,miami,21-04-2025,"Apr 24, 2025",DELIVERED
SHP000166,seattle,LA,13 Aug 2025,2025-08-22,IN_TRANSIT
SHP000158,Chcago,New York,2025-02-06,02/16/2025,IN_TRANSIT
SHP000376,houston,atlanta,2025-07-02,07-07-2025,IN_TRANSIT
SHP000187,Huoston,CHI,17-07-2025,28-07-2025,DELAYED
SHP000293,Seatle,HOU,31-01-2025,2025-02-09,DELIVERED
SHP000165,Atlanta,houston,2025-07-03,"Jul 13, 2025",DELIVERED
SHP000171,miami,Chcago,"Apr 27, 2025","Apr 29, 2025",IN_TRANSIT
SHP000467,seattle,Chicago,"Jul 07, 2025",18-07-2025,DELIVERED
SHP000292,Houston,new york,08/30/2025,"Sep 06, 2025",DELIVERED
SHP000600,Seatle,DEN,29-04-2025,01-05-2025,DELAYED
SHP000567,DEN,CHI,2025-07-16,23-07-2025,IN_TRANSIT
SHP000049,houston,chicago,"Mar 27, 2025",04/03/2025,DELAYED
SHP000042,N.York,CHI,"Mar 15, 2025",03/22/2025,DELIVERED
SHP000381,new york,DEN,07/10/2025,"Jul 17, 2025",DELIVERED
SHP000496,Chicago,Denvor,"Aug 18, 2025",08/25/2025,IN_TRANSIT
SHP000233,Seatle,Maimi,2025-03-11,0000-00-00,DELIVERED
SHP000267,LA,Seattle,03-04-2025,"Apr 12, 2025",DELIVERED
SHP000176,New York City,CHI,2025-05-07,05/23/2025,DELAYED
SHP000314,LA,miami,2025-05-03,2025-05-13,IN_TRANSIT
SHP000558,Houston,denver,"Feb 16, 2025","Feb 28, 2025",DELAYED
SHP000312,LA,miami,01-07-2025,2025-07-08,DELIVERED
,New York City,Seattle,02/06/2025,2025-02-14,IN_TRANSIT
SHP000456,Los Angles,Denvor,04 Feb 2025,02/11/2025,DELIVERED
,chicago,Maimi,"Jan 08, 2025",16-01-2025,DELIVERED
SHP000335,new york,houston,01/13/2025,"Jan 23, 2025",DELAYED
SHP000352,New York,Atlanta,"Jan 13, 2025","Jan 15, 2025",IN_TRANSIT
SHP000422,Los Angeles,seattle,28-02-2025,10 Mar 2025,DELAYED
SHP000344,L.A.,HOU,2025-08-16,08/24/2025,DELIVERED
SHP000533,LA,DEN,05/19/2025,26-05-2025,DELIVERED
SHP000238,New York City,HOU,27 Mar 2025,07-04-2025,DELIVERED
SHP000023,MIA,New York City,"Feb 12, 2025","Feb 21, 2025",DELIVERED
SHP000594,denver,houston,2025-02-13,20 Feb 2025,DELIVERED
SHP000194,Denver,los angeles,"Aug 06, 2025",08/15/2025,DELIVERED
SHP000299,Maimi,denver,07/05/2025,0000-00-00,DELIVERED
SHP000022,LA,new york,"Jun 16, 2025",06/26/2025,DELAYED
SHP000455,HOU,CHI,"Jan 21, 2025",01/28/2025,IN_TRANSIT
SHP000431,new york,houston,"Jan 30, 2025",08 Feb 2025,DELIVERED
SHP000356,Denver,Los Angeles,26 Jun 2025,07/04/2025,DELIVERED
SHP000486,houston,denver,12-04-2025,25-04-2025,DELIVERED
SHP000136,Atlanta,chicago,05-07-2025,07/18/2025,DELAYED
SHP000555,CHI,New York,27 Jun 2025,13 Jul 2025,DELAYED
SHP000427,Miami,Atlanta,21 Feb 2025,06-03-2025,DELIVERED
SHP000301,N.York,denver,"Mar 13, 2025","Mar 20, 2025",DELIVERED
SHP000024,Chicago,los angeles,2025-03-17,21 Mar 2025,CANCELLED
SHP000534,Seattle,Atlanta,2025-04-24,TBD,DELIVERED
SHP000393,Seattle,ATL,"Jan 28, 2025",2025-02-05,DELAYED
SHP000155,DEN,HOU,"Mar 28, 2025","Apr 02, 2025",DELIVERED
SHP000509,Chcago,SEA,07 Jul 2025,13 Jul 2025,DELIVERED
SHP000152,Chcago,miami,2025-07-19,"Jul 27, 2025",CANCELLED
SHP000115,DEN,new york,24 Jan 2025,26 Jan 2025,DELIVERED
SHP000283,Chicago,denver,2025-02-10,02/20/2025,DELAYED
SHP000169,CHI,Los Angles,2025-06-18,,DELAYED
SHP000112,Chcago,DEN,09 Jun 2025,"Jun 20, 2025",DELIVERED
SHP000079,los angeles,Maimi,"Feb 11, 2025",19-02-2025,DELIVERED
SHP000296,Houston,New York,04/29/2025,05/03/2025,DELAYED
SHP000184,L.A.,denver,05 Jan 2025,"Jan 13, 2025",DELIVERED
SHP000401,denver,Houston,04/02/2025,04/07/2025,DELIVERED
SHP000083,miami,New York City,27 Feb 2025,"Mar 01, 2025",DELIVERED
SHP000090,denver,MIA,2025-05-19,"May 20, 2025",IN_TRANSIT
SHP000469,MIA,los angeles,15-05-2025,0000-00-00,DELAYED
SHP000193,DEN,Los Angles,28-08-2025,"Sep 03, 2025",DELAYED
SHP000068,new york,Denvor,2025-05-22,27 May 2025,IN_TRANSIT
SHP000377,DEN,Atalanta,27 May 2025,2025-06-03,IN_TRANSIT
SHP000463,Chicago,Miami,12 Mar 2025,22-03-2025,DELIVERED
SHP000300,atlanta,HOU,"Aug 15, 2025","Aug 21, 2025",DELIVERED
SHP000546,SEA,Atlanta,2025-01-14,"Jan 22, 2025",DELAYED
SHP000545,Atlanta,Huoston,03-07-2025,2025-07-09,CANCELLED
SHP000482,L.A.,Miami,15 Jan 2025,"Jan 23, 2025",DELIVERED
SHP000126,NYC,Chicago,2025-02-13,0000-00-00,DELIVERED
SHP000540,miami,Atalanta,2025-04-16,20-04-2025,IN_TRANSIT
SHP000514,Houston,new york,17 Feb 2025,21-02-2025,DELIVERED
SHP000498,chicago,denver,2025-06-26,09 Jul 2025,DELAYED
SHP000464,los angeles,Denver,10-02-2025,21 Feb 2025,DELIVERED
SHP000354,Atlanta,DEN,2025-06-05,06/08/2025,DELIVERED
SHP000382,Chicago,Seatle,"Jan 20, 2025",23-01-2025,CANCELLED
SHP000065,Seatle,HOU,10-07-2025,2025-07-23,DELIVERED
SHP000056,New York,atlanta,09-02-2025,02/17/2025,DELIVERED
SHP000284,New York,Huoston,04-04-2025,unknown,DELAYED
SHP000434,houston,Los Angeles,2025-02-21,28 Feb 2025,DELAYED
SHP000516,New York,Denvor,16-07-2025,07/23/2025,DELIVERED
SHP000274,houston,Seatle,2025-04-11,04/16/2025,IN_TRANSIT
SHP000362,Denver,LA,"Jun 06, 2025","Jun 18, 2025",DELAYED
SHP000329,Seattle,miami,23-07-2025,30-07-2025,DELIVERED
,Miami,HOU,2025-02-17,2025-02-27,IN_TRANSIT
SHP000215,New York,L.A.,28 Aug 2025,0000-00-00,CANCELLED
SHP000595,DEN,Miami,02/25/2025,09-03-2025,DELIVERED
SHP000490,atlanta,houston,01 May 2025,06 May 2025,DELIVERED
SHP000117,LA,Atlanta,10 May 2025,2025-05-16,DELIVERED
SHP000553,Los Angeles,ATL,16-08-2025,unknown,DELIVERED
SHP000245,Chicago,Denver,07-01-2025,17-01-2025,DELIVERED
SHP000343,ATL,Huoston,"Jul 21, 2025",30 Jul 2025,DELIVERED
SHP000142,denver,miami,14-03-2025,"Mar 23, 2025",DELIVERED
SHP000210,houston,Denvor,2025-03-18,"Mar 26, 2025",DELIVERED
SHP000575,chicago,New York City,2025-02-19,25-02-2025,DELAYED
SHP000069,ATL,Huoston,2025-05-03,"May 11, 2025",DELIVERED
SHP000573,New York,Seatle,06/15/2025,18 Jun 2025,DELIVERED
SHP000180,seattle,MIA,05/02/2025,14 May 2025,DELIVERED
